new entry "Edgedancer_FreedomOfMovement"
type "SpellData"
data "SpellType" "Target"
data "Cooldown" "OncePerCombat"
data "SpellProperties" "ApplyStatus(FREEDOM_OF_MOVEMENT,100,5);RemoveStatus(SG_Stunned);"
data "TargetConditions" "Self()"
data "Icon" "Spell_Abjuration_FreedomOfMovement"
data "DisplayName" "a0n1ikp5mln3sx3abxjzhb126txs821h0bhkf"
data "Description" "3vil6mz3ouax1ol3f865toihwync8l975orzg"
data "TooltipStatusApply" "ApplyStatus(FREEDOM_OF_MOVEMENT,100,5)"
data "PrepareSound" "Spell_Prepare_Buff_Gen_L1to3_01"
data "PrepareLoopSound" "Spell_Prepare_Buff_Gen_L1to3_01_Loop"
data "CastSound" "Spell_Cast_Buff_FreedomOfMovement_L1to3"
data "TargetSound" "Spell_Impact_Buff_FreedomOfMovement_L1to3"
data "CastTextEvent" "Cast"
data "CycleConditions" "Self()"
data "UseCosts" "ActionPoint:1;Stormlight:1"
data "SpellAnimation" "dd86aa43-8189-4d9f-9a5c-454b5fe4a197,,;,,;94ad1609-9862-499a-8337-5e6a7d9487f9,c8f325f3-9d7d-4387-af85-b3b4257e26cc,f4b7eabd-2875-46fa-bae3-9f4d0a51c955;8373f3da-2368-4a51-98b1-146ec3586660,12971987-e66c-45dd-9843-b4784c30d9a2,279cd9eb-1d9c-4e4c-a44e-e751ae0eae66;cc5b0caf-3ed1-4711-a50d-11dc3f1fdc6a,,;,,;1715b877-4512-472e-9bd0-fd568a112e90,,;499b7945-9eff-40a2-9911-73b8963108e4,,;1d3a29f0-9409-462e-81cd-3f24944f63ca,,"
data "DualWieldingSpellAnimation" "dd86aa43-8189-4d9f-9a5c-454b5fe4a197,,;,,;ab7b6aac-b3c9-4918-8f17-f777a94dcb5e,,;57211a11-ed0b-46d7-9369-81df25a85df6,,;,,;,,;,,;bcc3b0d9-f04f-4448-aab0-e0ad641167cc,,;,,"
data "VerbalIntent" "Utility"
data "SpellFlags" "HasSomaticComponent;IsSpell;IsMelee"
data "HitAnimationType" "MagicalNonDamage"
data "MemoryCost" "1"
data "PrepareEffect" "33302a46-4a12-41dd-8845-6b7314d50022"
data "CastEffect" "bcd66fb0-b0bc-41d0-abba-ad443d63dd72"
data "TargetEffect" "32d71967-b080-4ac9-a1cf-c2829839bd90"
